name,lastname1,lastname2,fullname,job_title,country,skills,university,company
Joanne,Moreno,Alniacik,Joanne Moreno Alniacik,Blockchain Security Analyst,Australia,ROS; Python; Control Theory,University of Sydney,Commonwealth Bank
Asha,Bhardwaj,Alonso,Asha Bhardwaj Alonso,Mobile App Developer,India,Collibra; Alation; Talend,Indian Institute of Technology Delhi,AIResearchLab
Anfisa,Zhoravka,Alvarez,Anfisa Zhoravka Alvarez,Web Developer,Ukraine,Docker; Kubernetes,University of Kiev,CyberShield Consulting
Victoria,Harcourt,Alver,Victoria Harcourt Alver,Cybersecurity Analyst,Canada,Kali Linux; Metasploit; Burp Suite,University of Toronto,Intellitech Innovations
Celina,Black,Amador,Celina Black Amador,Devops Engineer,United States,HTML; CSS; JavaScript,Massachusetts Institute of Technology,TechPro Inc.
Marion,Hansen,Ambrose,Marion Hansen Ambrose,Frontend Developer,Australia,Qiskit; Cirq; Pennylane,University of Sydney,Commonwealth Bank
Brgida,Pinto,Anand,Brgida Pinto Anand,Cybersecurity Analyst,Brazil,SQL; Oracle,Universidade de S�o Paulo,DevOps Masters
Kelya,Clement,Anchan,Kelya Clement Anchan,Cybersecurity Analyst,France,Android Development; Kotlin; Azure; Power BI,Universit� Paris-Saclay,DataHub Analytics
Eline,Roux,Andelkovic,Eline Roux Andelkovic,Devops Engineer,France,Unity; Unreal Engine; C#,Universit� Paris-Saclay,DataHub Analytics
Nevaeh,Lee,Andersen,Nevaeh Lee Andersen,Cloud Engineer,New Zealand,HTML; CSS; JavaScript,University of Auckland,BlockchainGuru
Magdalena,Domnguez,Andersen,Magdalena Domnguez Andersen,Artificial Intelligence Researcher,Spain,Solidity; Ethereum; Hyperledger,Universidad Complutense de Madrid,Mobiliti Software
Arlene,Simpson,Andersen,Arlene Simpson Andersen,IoT Developer,Australia,Splunk; Wireshark; Kali Linux,University of Sydney,Commonwealth Bank
Rebecca,Salian,Andersen,Rebecca Salian Andersen,Cloud Engineer,India,React; Angular; Vue.js,Indian Institute of Technology Delhi,CyberShield Consulting
Emilie,Lam,Anderson,Emilie Lam Anderson,Machine Learning Engineer,Canada,Docker; Kubernetes; Ansible,University of Toronto,Intellitech Innovations
Nicoline,Kristensen,Anderson,Nicoline Kristensen Anderson,Cloud Architect,Denmark,Python; Machine Learning,Technical University of Denmark,GameDev Studios
Natalia,Rico,Andre,Natalia Rico Andre,Artificial Intelligence Specialist,Mexico,PyTorch; TensorFlow; Natural Language Processing,Universidad Nacional Aut�noma de M�xico,Technosoft Innovations
Oleksandra,Dudik,Andre,Oleksandra Dudik Andre,Robotics Engineer,Ukraine,ROS; Arduino; Python,University of Kiev,TechPro Inc.
Anastasia,Heldal,Andrews,Anastasia Heldal Andrews,Big Data Engineer,Norway,ROS; Python; Control Theory,University of Oslo,AIResearchLab
Carmen,Pires,Angulo,Carmen Pires Angulo,Data Governance Specialist,Brazil,Collibra; Alation; Talend,Universidade de S�o Paulo,DevOps Masters
Keya,Uchil,Angvik,Keya Uchil Angvik,Systems Analyst,India,ROS; Python; Control Theory,Indian Institute of Technology Delhi,TechPro Inc.
Marie,Grant,Arago,Marie Grant Arago,Artificial Intelligence Researcher,United Kingdom,Power BI; Tableau; SQL,University of Cambridge,AITech Solutions
Emilia,Raisanen,Arellano,Emilia Raisanen Arellano,Devops Engineer,Finland,AWS Lambda; Azure Functions; Google Cloud Functions,Aalto University,CyberSec Advisors
Emilie,Morin,Arling,Emilie Morin Arling,Full stack Engineer,Canada,Cisco; Linux; Wireshark,University of Toronto,Intellitech Innovations
Ella,Richards,Armas,Ella Richards Armas,Mobile App Developer,Ireland,Figma; Sketch; Adobe XD,University College Dublin,Technosoft Innovations
Swarna,Patil,Armstrong,Swarna Patil Armstrong,Robotics Engineer,India,AWS; Docker; Azure; Power BI,Indian Institute of Technology Delhi,AITech Solutions
Haritya,Kuzmuk,Armstrong,Haritya Kuzmuk Armstrong,Data Engineering Specialist,Ukraine,Android Development; Kotlin; Azure; Power BI,University of Kiev,DevOps Masters
Krisha,Kini,Armstrong,Krisha Kini Armstrong,Systems Analyst,India,Arduino; Raspberry Pi; C++,Indian Institute of Technology Delhi,GameDev Studios
Wiltrud,Rssler,Armstrong,Wiltrud Rssler Armstrong,Data Engineering Specialist,Germany,HTML; CSS; JavaScript,Technische Universit�t M�nchen,BlockchainGuru
Ellen,Hakala,Arnold,Ellen Hakala Arnold,Data Engineering Specialist,Finland,Collibra; Alation; Talend,Aalto University,CyberSec Advisors
Malys,Berger,Arnold,Malys Berger Arnold,Quantum Computing Researcher,France,Docker; Kubernetes; Ansible,Universit� Paris-Saclay,DataHub Analytics
Asya,Lemeshko,Arnold,Asya Lemeshko Arnold,Frontend Developer,Ukraine,Collibra; Alation; Talend,University of Kiev,GameDev Studios
Frida,Trulsen,Aro,Frida Trulsen Aro,Cloud Infrastructure Engineer,Norway,Python; R,University of Oslo,AIResearchLab
Catalina,lvarez,Asikoglu,Catalina lvarez Asikoglu,Quantum Computing Researcher,Spain,Java; Spring Framework,Universidad Complutense de Madrid,Mobiliti Software
Felisberta,da Mota,Askeland,Felisberta da Mota Askeland,Cybersecurity Consultant,Brazil,Node.js; Raspberry Pi; MQTT,Universidade de S�o Paulo,DevOps Masters
Norah,Opdal,Aussems,Norah Opdal Aussems,Cloud Infrastructure Engineer,Norway,Solidity; Ethereum; Hyperledger,University of Oslo,AIResearchLab
Dbora,Fernndez,Austin,Dbora Fernndez Austin,Frontend Developer,Mexico,Arduino; Raspberry Pi; C++,Universidad Nacional Aut�noma de M�xico,Technosoft Innovations
Samantha,Moore,Ayala,Samantha Moore Ayala,Artificial Intelligence Engineer,New Zealand,R; TensorFlow; Kubernetes; Jenkins,University of Auckland,Commonwealth Bank
Mara Eugenia,Dueas,Aykac,Mara Eugenia Dueas Aykac,Network Administrator,Mexico,Node.js; Raspberry Pi; MQTT,Universidad Nacional Aut�noma de M�xico,Technosoft Innovations
Marilou,Kowalski,Baat,Marilou Kowalski Baat,Blockchain Developer,Canada,HTML; CSS,University of Toronto,Intellitech Innovations
Olivia,Mendoza,Baeza,Olivia Mendoza Baeza,Full Stack Engineer,Chile,JavaScript; React,University of Santiago,Despegar
Joselien,Brinkhof,Bahena,Joselien Brinkhof Bahena,Systems Analyst,Netherlands,AWS; Docker; Azure; Power BI,Delft University of Technology,CyberShield Consulting
Mara,Soto,Bhr,Mara Soto Bhr,Cloud Engineer,Spain,Qiskit; Cirq; Pennylane,Universidad Complutense de Madrid,Mobiliti Software
Manon,Berger,Bailey,Manon Berger Bailey,Frontend Developer,France,Collibra; Alation; Talend,Universit� Paris-Saclay,DataHub Analytics
Sofia,Reynolds,Bajevic,Sofia Reynolds Bajevic,Game Developer,United States,Arduino; Raspberry Pi; C++,Massachusetts Institute of Technology,TechPro Inc.
Peyton,May,Bajevic,Peyton May Bajevic,Systems Analyst,Australia,Qiskit; Cirq; Pennylane,University of Sydney,Commonwealth Bank
Rachel,Fowler,Baker,Rachel Fowler Baker,Blockchain Developer,United Kingdom,Power BI; Tableau; SQL,University of Cambridge,AITech Solutions
Cathy,Carroll,Baker,Cathy Carroll Baker,Data Engineering Specialist,Ireland,Adobe Photoshop; Sketch,University College Dublin,BlockchainGuru
Astrid,Jensen,Bal,Astrid Jensen Bal,Artificial Intelligence Researcher,Denmark,AWS Lambda; Azure Functions; Google Cloud Functions,Technical University of Denmark,GameDev Studios
Ella,Obrien,Bal,Ella Obrien Bal,Cybersecurity Analyst,United Kingdom,HTML; CSS; C++; Qt,University of Cambridge,AITech Solutions
Mary,Trengereid,Bal,Mary Trengereid Bal,Software Developer,Norway,Adobe Photoshop; Sketch,University of Oslo,AIResearchLab
Elea,Aarum,Balci,Elea Aarum Balci,Full Stack Engineer,Norway,React; Angular; Vue.js,University of Oslo,AIResearchLab
Filicitata,Melashchenko,Balderas,Filicitata Melashchenko Balderas,Data Governance Specialist,Ukraine,Splunk; Wireshark; Nmap,University of Kiev,CyberShield Consulting
Znia,Fogaca,Baloga,Znia Fogaca Baloga,Product Owner,Brazil,Swift; Kotlin; Flutter,Universidade de S�o Paulo,DevOps Masters
Anitha,Shetty,Bansal,Anitha Shetty Bansal,Frontend Developer,India,Matplotlib; Pandas; Azure; Power BI,Indian Institute of Technology Delhi,Commonwealth Bank
Olivia,Wuori,Barnaby,Olivia Wuori Barnaby,Cloud Engineer,Finland,Splunk; Wireshark; Kali Linux,Aalto University,CyberSec Advisors
Isabelle,Li,Barnett,Isabelle Li Barnett,Blockchain Developer,New Zealand,Cisco; Linux; Wireshark,University of Auckland,DevOps Masters
Georgia,Brown,Barrett,Georgia Brown Barrett,Blockchain Developer,New Zealand,Agile; Scrum; User Research,University of Auckland,DataHub Analytics
Kayla,Snyder,Barros,Kayla Snyder Barros,UI/UX Designer,Ireland,Network Security; Ethical Hacking; Kubernetes; Jenkins,University College Dublin,Technosoft Innovations
MarieTherese,Thiede,Basoglu,MarieTherese Thiede Basoglu,Quantum Computing Specialist,Germany,Qiskit; Cirq; Pennylane,Technische Universit�t M�nchen,BlockchainGuru
Zinayida,Eybozhenko,Basoglu,Zinayida Eybozhenko Basoglu,Cloud Engineer,Ukraine,SQL; Oracle,University of Kiev,Commonwealth Bank
Maddison,Simmmons,Baturalp,Maddison Simmmons Baturalp,Robotics Specialist,United Kingdom,Agile; Scrum; Product Roadmapping,University of Cambridge,AITech Solutions
Lotta,Ketola,Baturalp,Lotta Ketola Baturalp,Business Intelligence Analyst,Finland,HTML; CSS; C++; Qt,Aalto University,CyberSec Advisors
Addison,Johnson,Baumgart,Addison Johnson Baumgart,Data Scientist,Canada,Angular; React; Node.js,University of Toronto,Intellitech Innovations
Micaela,Uras,Bavelaar,Micaela Uras Bavelaar,Full Stack Engineer,Mexico,Collibra; Alation; Talend,Universidad Nacional Aut�noma de M�xico,Technosoft Innovations
Yvonne,Harrison,Baykam,Yvonne Harrison Baykam,Network Administrator,Australia,Collibra; Alation; Talend,University of Sydney,Commonwealth Bank
Lumi,Keto,Beck,Lumi Keto Beck,Cloud Infrastructure Engineer,Finland,Solidity; Ethereum; Hyperledger,Aalto University,CyberSec Advisors
Marica,Rost,Behm,Marica Rost Behm,Embedded Systems Specialist,Germany,Collibra; Alation; Talend,Technische Universit�t M�nchen,BlockchainGuru
Minea,Couri,Blanger,Minea Couri Blanger,UI/UX Designer,Finland,Network Security; Ethical Hacking; SQL; Python,Aalto University,CyberSec Advisors
Nawal,Holte,Blanger,Nawal Holte Blanger,Penetration Tester,Norway,ROS; Python; Control Theory,University of Oslo,AIResearchLab
Florence,Walker,Blanger,Florence Walker Blanger,Cloud Engineer,New Zealand,Docker; Kubernetes; Ansible,University of Auckland,Technosoft Innovations
Susanna,Hoffman,Bell,Susanna Hoffman Bell,Artificial Intelligence Engineer,Ireland,Unity; Unreal Engine; C#,University College Dublin,Mobiliti Software
Evelina,Ivanov,Belligatti,Evelina Ivanov Belligatti,Frontend Developer,Norway,Solidity; Ethereum; Hyperledger,University of Oslo,AIResearchLab
Semra,Schwandt,Benavides,Semra Schwandt Benavides,Software Developer,Germany,AWS; Azure; Terraform,Technische Universit�t M�nchen,BlockchainGuru
Mikaela,Schultz,Bentez,Mikaela Schultz Bentez,Web Developer,Norway,Swift; Kotlin; Flutter,University of Oslo,AIResearchLab
Sienna,Turner,Bentez,Sienna Turner Bentez,Full stack Engineer,New Zealand,Collibra; Alation; Talend,University of Auckland,Mobiliti Software
Mariana,Martnez,Bennett,Mariana Martnez Bennett,Blockchain Developer,Mexico,Solidity; Ethereum; Hyperledger,Universidad Nacional Aut�noma de M�xico,Technosoft Innovations
Amy,Perry,Berberoglu,Amy Perry Berberoglu,Artificial Intelligence Specialist,Australia,SQL; Python; AWS; Docker,University of Sydney,Commonwealth Bank
Lilli,Gaiser,Berdnik,Lilli Gaiser Berdnik,Quantum Computing Researcher,Germany,Python; R,Technische Universit�t M�nchen,BlockchainGuru
Irsia,Fogaca,Bergem,Irsia Fogaca Bergem,Front-end Developer,Brazil,AWS; Azure; Terraform,Universidade de S�o Paulo,DevOps Masters
Mildred,Porter,Bergeron,Mildred Porter Bergeron,Data Governance Specialist,Australia,R; SQL; Tableau,University of Sydney,Commonwealth Bank
Shubha,Uchil,Bergeron,Shubha Uchil Bergeron,Cybersecurity Analyst,India,AWS; Azure; Terraform,Indian Institute of Technology Delhi,Commonwealth Bank
Mary,Jackson,Bergseth,Mary Jackson Bergseth,Big Data Engineer,Australia,Matplotlib; Pandas; Azure; Power BI,University of Sydney,Commonwealth Bank
Eleah,Henriksen,Berkelmans,Eleah Henriksen Berkelmans,Data Governance Specialist,Norway,AWS; Azure,University of Oslo,AIResearchLab
Sonia,Cano,Berry,Sonia Cano Berry,Penetration Tester,Spain,Collibra; Alation; Talend,Universidad Complutense de Madrid,Mobiliti Software
Sarah,Richardson,Berry,Sarah Richardson Berry,Product Owner,United Kingdom,AWS; Azure; Terraform,University of Cambridge,AITech Solutions
Friedhilde,Heigl,Berry,Friedhilde Heigl Berry,Artificial Intelligence Specialist,Germany,Collibra; Alation; Talend,Technische Universit�t M�nchen,BlockchainGuru
rsula,Caldern,Berry,rsula Caldern Berry,Mobile App Developer,Mexico,Qiskit; Cirq; Pennylane,Universidad Nacional Aut�noma de M�xico,Technosoft Innovations
Aisha,Risland,Bertrand,Aisha Risland Bertrand,Cybersecurity Analyst,Norway,Splunk; Wireshark; Kali Linux,University of Oslo,AIResearchLab
Ida,Kristensen,Bertrand,Ida Kristensen Bertrand,Artificial Intelligence Specialist,Denmark,Python; TensorFlow; Scikit-learn,Technical University of Denmark,GameDev Studios
Maya,Bolte,Beserler,Maya Bolte Beserler,Serverless Architect,Germany,AWS Lambda; Azure Functions; Google Cloud Functions,Technische Universit�t M�nchen,BlockchainGuru
Anni,Salminen,Besok,Anni Salminen Besok,Artificial Intelligence Engineer,Finland,AWS; Azure; Terraform,Aalto University,CyberSec Advisors
Emma,Mller,Besok,Emma Mller Besok,UI/UX Designer,Denmark,SQL; Python; Node.js; MongoDB,Technical University of Denmark,GameDev Studios
Jackie,Cox,Beverwijk,Jackie Cox Beverwijk,Cloud Engineer,United States,Hadoop; Spark; Python,Massachusetts Institute of Technology,TechPro Inc.
Eloane,Blanchard,Bharanya,Eloane Blanchard Bharanya,Devops Engineer,France,Qiskit; Cirq; Pennylane,Universit� Paris-Saclay,DataHub Analytics
Lily,Roberts,Bhardwaj,Lily Roberts Bhardwaj,Data Scientist,New Zealand,Splunk; Wireshark; Nmap,University of Auckland,CyberShield Consulting
Marjorie,Wilson,Bicer,Marjorie Wilson Bicer,Cloud Infrastructure Engineer,Australia,Android Development; Kotlin; Azure; Power BI,University of Sydney,Commonwealth Bank
Sara,Petersen,Bicer,Sara Petersen Bicer,DevOps Engineer,Denmark,Swift; Kotlin; Flutter,Technical University of Denmark,GameDev Studios
Alison,Terry,Biliy,Alison Terry Biliy,Front-end Engineer,Ireland,Python; TensorFlow; Natural Language Processing,University College Dublin,Intellitech Innovations
Sheryl,Farragher,Bilokin,Sheryl Farragher Bilokin,Artificial Intelligence Specialist,Ireland,Solidity; Ethereum; Hyperledger,University College Dublin,AITech Solutions
Neusita,Costa,Bishop,Neusita Costa Bishop,Frontend Developer,Brazil,Arduino; Raspberry Pi; C++,Universidade de S�o Paulo,DevOps Masters
Randi,Erichsen,Bjrnsen,Randi Erichsen Bjrnsen,Cybersecurity Analyst,Norway,Qiskit; Cirq; Pennylane,University of Oslo,AIResearchLab
Likhitha,Nair,Black,Likhitha Nair Black,Serverless Solutions Architect,India,AWS Lambda; Azure Functions; Google Cloud Functions,Indian Institute of Technology Delhi,Technosoft Innovations
Hennie,Sandum,Black,Hennie Sandum Black,Systems Analyst,Norway,PyTorch; TensorFlow; Natural Language Processing,University of Oslo,AIResearchLab
Jennifer,Curtis,Blanc,Jennifer Curtis Blanc,Machine Learning Engineer,United Kingdom,PyTorch; TensorFlow; Natural Language Processing,University of Cambridge,AITech Solutions
Linnea,Kvande,Blanco,Linnea Kvande Blanco,Machine Learning Engineer,Norway,Unity; Unreal Engine; C#,University of Oslo,AIResearchLab
Paige,Lee,Blank,Paige Lee Blank,DevOps Engineer,New Zealand,Cisco; Linux; Wireshark,University of Auckland,BlockchainGuru
Dalia,Barreto,Blaic,Dalia Barreto Blaic,Big Data Engineer,Mexico,Node.js; Raspberry Pi; MQTT,Universidad Nacional Aut�noma de M�xico,Technosoft Innovations
Radana,Stechenko,Boessenkool,Radana Stechenko Boessenkool,Front-end Engineer,Ukraine,Python; Machine Learning,University of Kiev,CyberShield Consulting
Hedda,Dieterle,Bolatli,Hedda Dieterle Bolatli,Data Engineering Specialist,Germany,Python; TensorFlow; Scikit-learn,Technische Universit�t M�nchen,BlockchainGuru
Irene,Soto,Bonnet,Irene Soto Bonnet,Cybersecurity Consultant,United States,Docker; Kubernetes; Ansible,Massachusetts Institute of Technology,TechPro Inc.
Amal,Meidell,Bsch,Amal Meidell Bsch,Network Architect,Norway,Splunk; Wireshark; Kali Linux,University of Oslo,AIResearchLab
Susie,Grant,Bouchard,Susie Grant Bouchard,Front-end Engineer,United Kingdom,PyTorch; TensorFlow; Natural Language Processing,University of Cambridge,AITech Solutions
Olivia,Hanson,Bowman,Olivia Hanson Bowman,Devops Engineer,United Kingdom,AWS Lambda; Azure Functions; Google Cloud Functions,University of Cambridge,AITech Solutions
Pihla,Wuori,Bozhok,Pihla Wuori Bozhok,Network Architect,Finland,R; TensorFlow; C++; Qt,Aalto University,CyberSec Advisors
Hanna,Nelson,Braakhuis,Hanna Nelson Braakhuis,Data Engineering Specialist,Ireland,Python; Machine Learning,University College Dublin,BlockchainGuru
Mariana,Alcaraz,Bracht,Mariana Alcaraz Bracht,Robotics Specialist,Mexico,SQL; Python; AWS; Docker,Universidad Nacional Aut�noma de M�xico,Technosoft Innovations
Dbora,Solorzano,Bradley,Dbora Solorzano Bradley,Penetration Tester,Mexico,Splunk; Wireshark; Kali Linux,Universidad Nacional Aut�noma de M�xico,Technosoft Innovations
Nishitha,Dhamdhame,Bradley,Nishitha Dhamdhame Bradley,Serverless Solutions Architect,India,AWS Lambda; Azure Functions; Google Cloud Functions,Indian Institute of Technology Delhi,TechPro Inc.
Irem,Wessels,Bradley,Irem Wessels Bradley,Product Manager,Netherlands,Swift; Kotlin; Flutter,Delft University of Technology,CyberShield Consulting
Juraci,Fernandes,Brandal,Juraci Fernandes Brandal,Blockchain Developer,Brazil,Matplotlib; Pandas; Azure; Power BI,Universidade de S�o Paulo,DevOps Masters
Erin,Kelly,Brettschneider,Erin Kelly Brettschneider,Cloud Infrastructure Engineer,United States,R; SQL; Tableau,Massachusetts Institute of Technology,TechPro Inc.
Eloisa,Luevano,Brewer,Eloisa Luevano Brewer,DevOps Engineer,Mexico,JavaScript; React,Universidad Nacional Aut�noma de M�xico,Technosoft Innovations
Tamara,Bilenko,Brewer,Tamara Bilenko Brewer,Game Developer,Ukraine,Network Security; Ethical Hacking; Kubernetes; Jenkins,University of Kiev,Mobiliti Software
Sam,Kuhn,Brodahl,Sam Kuhn Brodahl,Big Data Engineer,United Kingdom,Splunk; Wireshark; Kali Linux,University of Cambridge,AITech Solutions
Peggy,Kelley,Broen,Peggy Kelley Broen,Robotics Specialist,Australia,AWS Lambda; Azure Functions; Google Cloud Functions,University of Sydney,Commonwealth Bank
Sophie,Roux,Brokken,Sophie Roux Brokken,Blockchain Developer,France,PyTorch; TensorFlow; Natural Language Processing,Universit� Paris-Saclay,DataHub Analytics
Marica,Baumbach,Brongers,Marica Baumbach Brongers,Cybersecurity Consultant,Germany,Splunk; Wireshark; Kali Linux,Technische Universit�t M�nchen,BlockchainGuru
Anglica,Hidalgo,Brooks,Anglica Hidalgo Brooks,IoT Developer,Mexico,Python; TensorFlow; Scikit-learn,Universidad Nacional Aut�noma de M�xico,Technosoft Innovations
Cindy,Johnson,Brown,Cindy Johnson Brown,Business Intelligence Analyst,United States,Swift; Kotlin; Flutter,Massachusetts Institute of Technology,TechPro Inc.
Hilma,Maaen,Brown,Hilma Maaen Brown,Front-end Developer,Germany,AWS; Azure; Terraform,Technische Universit�t M�nchen,BlockchainGuru
Adela,Yez,Brown,Adela Yez Brown,Data Scientist,Mexico,Node.js; Raspberry Pi; MQTT,Universidad Nacional Aut�noma de M�xico,Technosoft Innovations
Nomie,Gagnon,Brown,Nomie Gagnon Brown,Blockchain Developer,Canada,ROS; Python; Control Theory,University of Toronto,Intellitech Innovations
Yeni,Sotelo,Brown,Yeni Sotelo Brown,Frontend Developer,Mexico,AWS Lambda; Azure Functions; Google Cloud Functions,Universidad Nacional Aut�noma de M�xico,Technosoft Innovations
Stephanie,Simpson,Bruaset,Stephanie Simpson Bruaset,Front-end Engineer,Ireland,Power BI; Tableau; SQL,University College Dublin,Technosoft Innovations
Elonore,Caron,Bruder,Elonore Caron Bruder,Devops Engineer,France,Python; Matlab; Pandas,Universit� Paris-Saclay,DataHub Analytics
Alba,Suarez,Brun,Alba Suarez Brun,Cloud Engineer,Spain,Python; Matlab; Pandas,Universidad Complutense de Madrid,Mobiliti Software
Annelie,Ferstl,Brust,Annelie Ferstl Brust,Business Intelligence Analyst,Germany,R; SQL; Tableau,Technische Universit�t M�nchen,BlockchainGuru
Katherine,Clarke,Bryant,Katherine Clarke Bryant,IoT Developer,United Kingdom,ROS; Python; Control Theory,University of Cambridge,AITech Solutions
Marjorie,Rodriquez,Bryant,Marjorie Rodriquez Bryant,Database Administrator,Australia,Agile; Scrum; Product Roadmapping,University of Sydney,Commonwealth Bank
Jennifer,Fitzsimmons,Buiten,Jennifer Fitzsimmons Buiten,Cybersecurity Analyst,Ireland,AWS; Docker; Azure; Power BI,University College Dublin,AITech Solutions
Sonia,Domnguez,Burke,Sonia Domnguez Burke,Cloud Engineer,Spain,Collibra; Alation; Talend,Universidad Complutense de Madrid,Mobiliti Software
ngeles,Diez,Burns,ngeles Diez Burns,Cloud Engineer,Spain,R; TensorFlow; Kubernetes; Jenkins,Universidad Complutense de Madrid,Mobiliti Software
Garance,Colin,Bustos,Garance Colin Bustos,Cybersecurity Analyst,France,Agile; Scrum; User Research,Universit� Paris-Saclay,DataHub Analytics
Tamara,Owens,Bustos,Tamara Owens Bustos,Cybersecurity Analyst,United States,Collibra; Alation; Talend,Massachusetts Institute of Technology,TechPro Inc.
Dona,Kumari,Butler,Dona Kumari Butler,Product Owner,India,Qiskit; Cirq; Pennylane,Indian Institute of Technology Delhi,BlockchainGuru
Juana,Nez,Byrd,Juana Nez Byrd,Frontend Developer,Spain,Adobe Photoshop; Sketch,Universidad Complutense de Madrid,Mobiliti Software
Karen,Ross,cabarkapa,Karen Ross cabarkapa,DevOps Engineer,Ireland,HTML; CSS,University College Dublin,TechPro Inc.
Nathalie,Heide,Cabrera,Nathalie Heide Cabrera,Quantum Computing Researcher,Germany,Docker; Kubernetes; Ansible,Technische Universit�t M�nchen,BlockchainGuru
Mstislava,Dovgan,Caldeira,Mstislava Dovgan Caldeira,Frontend Developer,Ukraine,R; TensorFlow; Kubernetes; Jenkins,University of Kiev,Commonwealth Bank
Carmen,Menndez,Caldwell,Carmen Menndez Caldwell,Mobile App Developer,Mexico,SQL; Oracle,Universidad Nacional Aut�noma de M�xico,Technosoft Innovations
Lina,Masson,Caldwell,Lina Masson Caldwell,Artificial Intelligence Specialist,France,AWS; Azure,Universit� Paris-Saclay,DataHub Analytics
Silviara,Porto,Calvo,Silviara Porto Calvo,Data Governance Specialist,Brazil,Adobe Photoshop; Sketch,Universidade de S�o Paulo,DevOps Masters
Lyana,Svistun,Camarillo,Lyana Svistun Camarillo,Frontend Developer,Ukraine,Hadoop; Spark; Python,University of Kiev,CyberShield Consulting
Hilda,Seiffert,Campbell,Hilda Seiffert Campbell,Serverless Architect,Germany,HTML; CSS; JavaScript,Technische Universit�t M�nchen,BlockchainGuru
Pauline,Hunter,Campbell,Pauline Hunter Campbell,Full Stack Engineer,Australia,Python; TensorFlow; Natural Language Processing,University of Sydney,Commonwealth Bank
Jeanne,Chu,Campbell,Jeanne Chu Campbell,Network Administrator,Canada,Cisco; Networking,University of Toronto,Intellitech Innovations
Krasnovida,Yackiv,Campbell,Krasnovida Yackiv Campbell,Blockchain Developer,Ukraine,Angular; React; Node.js,University of Kiev,GameDev Studios
Iiris,Mantyla,Campos,Iiris Mantyla Campos,Devops Engineer,Finland,Solidity; Ethereum; Hyperledger,Aalto University,CyberSec Advisors
Joslia,Viana,Campos,Joslia Viana Campos,Quantum Computing Researcher,Brazil,Splunk; Wireshark; Kali Linux,Universidade de S�o Paulo,DevOps Masters
